citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
303,N06-2049.xml,P07-1106.xml,"Wang et al.(2006) incorporates an N-gram language model in M E tagging, making use of word information to improve the character tagging model.",The key difference between our model and the above models is the word- based nature of our system.,"One existing method that is based on sub-word information, Zhang et al.(2006), combines a C R F and a rule-based model.","Unlike the character-tagging models, the C R F submodel assigns tags to sub- words, which include single-character words and the most frequent multiple-character words from the training corpus.",Thus it can be seen as a step towards a word-based model.,Single Citance
304,N06-2049.xml,P07-1106.xml,"Different encodings were provided, and the UTF8 data for all four corpora were used in this experiment.","Following the format of Table 5, the results for this bakeoff are shown in Table 6.","We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang et al.(2006) for comparison.","Row “Zh-a” and “Zh-b” represent the pure sub-word C R F model and the confidence-based combination of the C R F and rule-based models, respectively.","Again, our model achieved better overall accuracy than the majority of the other models.",Multi Citance
305,N06-2049.xml,P12-1027.xml,of-the-art systems reported in the previous papers.,The statistics are listed in Table 3.,"Best05 represents the best system of the Second International Chinese Word Segmentation Bakeoff on the corresponding data; CRF + rule-system represents confidence- based combination of CRF and rule-based models, presented in Zhang et al.(2006).",Prob.,indicates whether or not the system can provide probabilistic information.,Single Citance
306,N06-2049.xml,W06-0118.xml,The sections below provide a detailed description of the system and our experimental results.,"In our segmentation system, a hybrid strategy is applied (Figure 1): First, forward maximum matching (Chen and Liu, 1992), which is a dictionary-based method, is used to generate a segmentation result.","Also, the CRF model using maximum subword-based tagging (Zhang et al., 2006)",The maximum matching algorithm is a greedy segmentation approach.,"It proceeds through the sentence, mapping the longest word at each point with an entry in the dictionary.",Single Citance
307,N06-2049.xml,W06-0118.xml,"In this approach, most existing methods use the character-based IOB tagging.","For example, “;g(all) 3'::KJ!!�(extremely important)” is labeled as “;g(all)/O 3'(until)/B ::K(close)/I J!!(heavy)/I �(demand)/I”.","Recently (Zhang et al., 2006) proposed a maximum subword-based IOB tagger for Chinese word segmentation, and our system applies their approach which obtains a very high accuracy on the shared task data from previous SIGHAN competitions.","In this method, all single-hanzi words and the top frequently occurring multihanzi words are extracted from the training corpus to form the lexicon subset.Then, each word in the training corpus is segmented for IOB tagging, with the forward maximum matching algorithm, using the formed lexicon subset as the dictionary.","In the above example, the tagging labels become “;g(all)/O3'(until)/B ::K(close)/I J!!",Single Citance
308,N06-2049.xml,W08-0335.xml,This enabled us to examine the effect of CWS specifications on SMT.,"We used a Chinese word segmentation tool, Achilles, to implement word segmentation.","Part of the work using this tool was described by (Zhang et al., 2006).","Moreover, this tool meets our need to test the effect of the two kinds of CWS approaches for SMT.",We can easily train a dictionary-based and a CRF-based CWS by using this tool.,Single Citance
309,N06-2049.xml,W08-0335.xml,"This CWS was then used to segment the SMT training corpus and then we extracted a lexicon of 100,000 from the top frequent words of the segmented SMT corpus.",This lexicon was used as the lexicon of the “dict-hybrid.” The LM of “dict- hybrid” was also trained on the segmented corpus.,"Note a lexicon and a LM are the only needed resources for building a dictionary-based CWS, like the â€œdict-hybrid.â€ (Zhang et al., 2006) We used the â€œdict-hybridâ€ to segment the SMT training corpus and test data.","This segmentation generated 49,546,231 tokens, 112,072 unique words for the training data and 693 OOVs for the test data.",The segmentation data were used for training a new SMT model.,Single Citance
310,N06-2049.xml,W10-4128.xml,Chinese Word Segmentation (CWS) has witnessed a prominent progress in the first four SIGHAN Bakeoffs.,"Since Xue (2003) used character-based tagging, this method has attracted more and more attention.","Some previous work (Peng et al., 2004; Tseng et al., 2005; Low et al., 2005) illustrated the effectiveness of using characters as tagging units, while literatures (Zhang et al., 2006; Zhao and Kit, 2007a; Zhang and Clark, 2007) focus on employing lexical words or subwords as tagging units.",Because the word-based models can capture the word-level contextual information and IV knowledge.,"Besides, many strategies are proposed to balance the IV and OOV performance (Wang et al., 2008).",Multi Citance
311,N06-2049.xml,W10-4135.xml,"In this word segmentation competition, unfortunately, only a small size of unlabeled target domain data is available.",Thus we focus on handling out-of-vocabulary (OOV) words.,"For this purpose, our system is based on a combination of subword-based tagging method (Zhang et al., 2006) and accessor variety-based new word recognition method (Feng et al., 2004).","In more detail, we adopted and extended subword-based method.",Subword list is augmented with new- word list recognized by accessor variety method.,Multi Citance
312,N06-2049.xml,W10-4135.xml,"Moreover, single- character words 1, if they are not contained in the subword list, are also added.","Such proce 1 By single-character word, we refer to words that consist solely of a Chinese character.","Feature Template Description f) in(str, subword-list) is str in subword list g) in(str, confident-word-list) is str in confident-word list Table 2: Subword Features for CRF-based Segmenter dure for constructing a subword list is similar to the one used in (Zhang et al., 2006).","To enhance the effect of subwords, we go one step further to build a list, named confident-word list here and below, which contains words that are not a portion of other words and are never segmented in the training data.","In the competition, 400 most frequent words in the confident-word list are used.",Single Citance
313,N06-2049.xml,W10-4135.xml,"With subword list and confident-word list, both training and test data are segmented with forward maximum match method by using the union of subword list and confident-word list.",Each segmentation unit (single-character or multi- character unit) in the segmentation results are regarded as “pseudo character” and thus can be represented with the basic features in Table 1 and two additional features as shown in Table 2.,"See the details of subword-based Chinese word segmentation in (Zhang et al., 2006)","Accessor variety (AV) (Feng et al., 2004) is a simple and effective unsupervised method for extraction of new Chinese words.","Given a unsegmented text, each substring (candidate word) in the text can be assigned a value according to the following equation: AV (s) = min{Lav (s), Rav (s)} (1) where the left and right AV values, Lav (s) and Rav (s) are defined to be the number of distinct character types appearing on the left and right, respectively.",Single Citance
314,N06-2049.xml,W10-4138.xml,"Both of them occur 73 times, which is a large number for such a small corpus.","Thus, the bigram â€œRAIL ENQUIRIESâ€ gives a misleading probability that â€œRAILâ€ is followed by â€œENQUIRIESâ€ irrespective of what precedes it.","This problem happens not only with word-token corpora but also with corpora in which all the compounds are tagged as units since overlapping N- grams still appear, therefore corresponding solutions such as those of Zhang et al.(2006) were proposed.","We uses suffix array algorithm to calculate exact boundaries of phrase and their frequencies (Sung et al., 2008), called term contributed boundaries (TCB) and term contributed fre quencies (TCF), respectively, to analogize similarities and differences with the term frequencies (TF).","For example, in Vodis Corpus, the original TF of the term “RAIL ENQUIRIES” is 73.",Pre Contiguous
315,N09-1001.xml,N09_csl2013.xml,"We should also note that while improvement is experienced for both the objective and subjective classes, a major gain is observed for the latter.","We are not aware of any other work that considered the task of word sense subjectivity labeling in a cross-lingual setting, and thus no direct comparison with previous work can be performed.","The work closest to ours is the subjectivity word sense disambiguation method proposed in Akkaya et al.			(2009), where on a set of 83 English words, an accuracy of 88% was observed; and the method proposed in Su and Markert (2009), where an accuracy of 84% was obtained on another dataset of 298 words.","These results are however not directly comparable to ours, as they are applied on different datasets, with different levels of difficulty.","0.8 EnRo-ML-overall E n C L o v e r a l l R o C L o v e r a l l 0.7 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 Number of iterations Figure 5: Macro-accuracy for multilingual bootstrapping (versus cross-lingual framework) 0.9 0.8 E n R o M L o b j E n R o M L s u b j E n C L o b j E n C L s u b j R o C L o b j R o C L s u b j 0.7 0.6 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 Number of iterations Figure 6: F-measure for the objective and subjective classes for multilingual bootstrapping (versus cross-lingual framework) Monolingual Features Multilingual Features English Romanian English & Romanian feeling state quality mental feel emotion emotional pain no hit good mind great self regard important judgment lack true suffering lacking opinion statement trait disposition concern extreme felt distress social pleasure intense belief danger feelings argument personal attitude sentiment (En: feeling) stare (En: state) lips˘a (En: lack) atitudine (En: attitude) suferin¸ta˘ (En: suffering) boal˘a (En: disease) sim¸ti (En: feel) idee (En: idea) anumit (En, adj.",Multi Citance
316,N09-1001.xml,N09prod.xml,"Pang[2] used Naive Bayes (NB), Max entropy (ME) and SVM separately as supervised learning algorithms for binary classification of reviews.","Besides these, Pang[3] exploited regression and One-Vs-All SVMs to predict the score for classification, namely the multi-classification, which can also be realized by combining binary classifiers in a two-stage manner.",Pang[4] and Su[5] both optimized their multi-classification results using the Mincut model.,"For sentiment classification in microblogs, Go[6] was the first to classify Twitter data into two classes (positive and negative).Barbosa[7] classified Twitter data into three classes in a two-stage manner.",Jiang[8] analyzed topic related sentiment for Twitter text.,Multi Citance
317,N09-1001.xml,N09prod.xml,Do binary classification on the test data which is correctly divided into subject class in Step 1 for positive and negative detection.,4.3 Minimum Cut Model Optimization.,"Inspired by work of Pang[4] and Su[5], we also use Minimum cut (Mincut) model to optimize the Two-stage SVM result.",Binary classification with Mincut in graph is based on the idea that similar items should be split in the same cut.,"We build an undirected graph G with vertices {s, t, v1, v2, …, vn}; s is the source and t is the sink, and all items in the test data are seen as vertices vi.",Multi Citance
318,N09-1001.xml,N15-1071.xml,"Some of the neutral-to-positive or neutral-to- negative transitions don’t seem well-motivated and may be regarded as artifacts from the crowdsourcing, as does n’t, is n’t and are n’t are negative in SSTb whereas ’s not, do n’t and did n’t get a neutral label.","In HeiST, nicht immer (not always) as well as nicht ganz (not quite) are negative, whereas auch nicht (neither) and nicht so (not as) or nicht unbedingt (not necessarily) are neutral.","The MWE productions seem to overlap with well- known linguistic phenomena  consider Fahrni and Klenner (2008) and their claim that most adjectives have a polarity that is dependent on the target they modify instead of having a prior polarity that holds independently of the target, or the observation of Su and Markert (2009) that sentiment should be dependent on word senses instead of word forms (which would capture a large number of examples within the expression strengthening category).","Yet, others may be idiosyncracies introduced by the crowdsourcing process, and powerful learners such as RNTN or the approach of Hall et al.(2014) will gain performance from simply memorizing the idiosyncracies of the data when there is Ty pe Total S V M C o rr Prec C L S A C o rr Prec R N T N C o rr Prec +r ep lace go ld C or r Prec AV G 6341 M W E 1638 IN T 612 ID 392 IN V 259 34 08 0.546 3 6 9 0.225 3 7 0 0.605 2 8 3 0.722 7 6 0.293 31 58 0.506 5 3 8 0.328 3 6 2 0.592 2 6 9 0.686 6 5 0.251 36 04 0.577 5 3 8 0.359 4 1 3 0.675 2 8 6 0.730 9 3 0.359 43 09 0.690 5 4 6 0.333 4 7 0 0.768 3 2 3 0.824 7 9 0.305 Table 7: Precision of rules with non-neutral parent label (ID: daughters and parent have identical labels) enough of it – because of the way the Stanford Sentiment Treebank is constructed, phrases always have the same (context-independent) label, while we may get a more accurate (and possibly different) picture from introducing additional means of quality control (which in turn increases the necessary investment for such a sentiment treebank).","In table 7, we tabulated the classification accuracy for the parent node in different types of productions in HeiST.",Multi Citance
319,N09-1001.xml,P101167.xml,"Wiebe and Mihalcea (2006b) label word senses in WordNet as subjective or objective, utilizing the MPQA corpus.",They show that subjectivity information for Word- Net senses can improve word sense disambiguation tasks for subjectivity ambiguous words.,Su and Markert (2009) propose a semi-supervised minimum cut framework to label word sense entries in WordNet with subjectivity information.,Their method requires less training data other than the sense definitions and relational structure of WordNet.2.5 Word Polarity Classification for Foreign Languages.,Word sentiment and subjectivity has also been studied for languages other than English.,Single Citance
320,N09-1001.xml,PEAAI_n09.xml,"Features used were high- frequency words, content words, sentence length and punctuation.","Results on the Twitter dataset are better than those obtained on the Amazon dataset, with accuracy of 0.947 with a k-nearest neighbors implementation.",Semi-supervised techniques on text mining were applied by Fangzhong and Markert (2009).,"Their approach involves Wordnet, like us, and they propose a subjectivity measure of each Wordnet entry.",They suggest a semi-supervised minimum-cut framework that makes use of both WordNet deﬁnitions and its relation structure.,Single Citance
321,N09-1001.xml,Pproc2014_n09.xml,"The creation, gain, and benefit classes are +effect events.","For example, baking a cake has a positive effect on the cake because it is created;3 increasing the tax rate has a positive effect on the tax rate; and comforting the child has a positive effect on the child.","The antonymous classes of each are -effect events: destroying the building has a negative effect on the building; demand decreasing has a negative effect on demand; and killing Bill has a negative effect on Bill.4 While sentiment (Esuli and Sebastiani, 2006; Wilson et al., 2005; Su and Markert, 2009) and connotation lexicons (Feng et al., 2011; Kang et al., 2014) are related, sentiment, connotation, and +/-effects are not the same; a single event may have different sentiment and +/-effect polarities, for example.","Consider the following example: perpetrate: S: (v) perpetrate, commit, pull (perform an act, usually with a negative connotation) “perpetrate a crime”; “pull a bank robbery” This sense of perpetuate has a negative connotation, and is an objective term in SentiWordNet.However, it has a positive effect on the object, a crime, since performing a crime brings it into existence.",3 Deng et al.(2013) point out that +/-effect objects are not equivalent to benefactive/malefactive semantic roles.,Multi Citance
322,N09-1001.xml,Pproc2014_n09.xml,"Also, the similarity of glosses in WordNet is considered.","Even though they investigated the hierarchical structure by LCS values, WordNet relations are not exploited directly.",Su and Markert (2009) adopt a semi-supervised mincut method to recognize the subjectivity of word senses.,"To construct a graph, each node corresponds to one WordNet sense and is connected to two classification nodes (one for subjectivity and another for objectivity) via a weighted edge that is assigned by a classifier.","For this classifier, WordNet glosses, relations, and monosemous features are considered.",Single Citance
323,N09-1001.xml,W11-0311.xml,This indicates that non-expert MTurk annotations can replace expert annotations for our end-goal – improving contextual opinion analysis – while reducing time and cost requirements by a large margin.,"Moreover, we see that the improvements in (Akkaya et al., 2009) scale up to new subjectivity clues.","One related line of research is to automatically assign subjectivity and/or polarity labels to word senses in a dictionary (Valitutti et al., 2004; An- dreevskaia and Bergler, 2006; Wiebe and Mihalcea, 2006; Esuli and Sebastiani, 2007; Su and Markert, 2009).","In contrast, the task in our paper is to automatically assign labels to word instances in a corpus.","Recently, some researchers have exploited full word sense disambiguation in methods for opinion- related tasks.",Multi Citance
324,N09-1025.xml,C10-2052.xml,"While parameter studies exist for general word sense disambiguation (WSD) tasks (Yarowsky and Florian, 2002), and PSD accuracy has been steadily increasing, there has been no exploration of the parameters of prepositions to guide engineering decisions.",We go beyond simply improving accuracy to analyze various parameters in order to determine which ones are actually informative.,"We explore the different options for context and feature se 1 See (Chan et al., 2007) for the relevance of word sense disambiguation and (Chiang et al., 2009) for the role of prepositions in MT. 454 Coling 2010: Poster Volume, pages 454462, Beijing, August 2010 lection, the influence of different preprocessing methods, and different levels of sense granularity.","Using the resulting parameters in a Maximum Entropy classifier, we are able to improve significantly over existing results.",The general outline we present can potentially be extended to other word classes and improve WSD in general.Rudzicz and Mokhov (2003) use syntactic and lexical features from the governor and the preposition itself in coarse-grained PP classification with decision heuristics.,Multi Citance
325,N09-1025.xml,D11-1081.xml,"With millions of features trained on 519K sentences in 0.03 second per sentence, our system achieves significant improvement by 0.84 BLEU over the baseline system on the NIST ChineseEnglish test sets.","Discriminative model (Och and Ney, 2002) can easily incorporate non-independent and overlapping features, and has been dominating the research field of statistical machine translation (SMT) in the last decade.","Recent work have shown that SMT benefits a lot from exploiting large amount of features (Liang et al., 2006; Tillmann and Zhang, 2006; Watanabe et al., 2007; Blunsom et al., 2008; Chiang et al., 2009).","However, the training of the large number of features was always restricted in fairly small data sets.","Some systems limit the number of training examples, while others use short sentences to maintain efficiency.",Multi Citance
326,N09-1025.xml,D11-1081.xml,"However, the training of the large number of features was always restricted in fairly small data sets.","Some systems limit the number of training examples, while others use short sentences to maintain efficiency.","Overfitting problem often comes when training many features on a small data (Watanabe et al., 880 2007; Chiang et al., 2009).","Obviously, using much more data can alleviate such problem.","Furthermore, large data also enables us to globally train millions of sparse lexical features which offer accurate clues for SMT.",Multi Citance
327,N09-1025.xml,D11-1081.xml,(1) Solid hyperedges denote a “reference” derivation tree t1 which exactly yields the reference translation.,"(2) Replacing e3 in t1 with e4 results a competing non-reference derivation t2 , which fails to swap the order of X3,4 .","(3) Removing e1 and e5 in t1 and adding e2 leads to another reference derivation t3 . Generally, this is done by deleting a node X0,1 . ing to constructing the oracle reference (Liang et al., 2006; Watanabe et al., 2007; Chiang et al., 2009), which is nontrivial for SMT and needs to be determined experimentally.","Given such forests, we globally learn a log-linear model using stochastic gradient descend (Section 5).","Overall, both the generation of forests and the training algorithm are scalable, enabling us to train millions of features on large-scale data.",Multi Citance
328,N09-1025.xml,D11-1081.xml,Perceptron.,We also learn thousands of context word features together with the 8 traditional features on a small data using perceptron.,"Following (Chiang et al., 2009), we only use 100 most frequent words for word context feature.","This setting use CKY de T R A I N R T R AI N D EV T E ST # S e n t . # W or d A v g . L e n . L o n . L e n . 51 9, 35 9 8 . 6 M 1 6 . 5 9 9 1 8 6, 8 1 0 1 . 3 M 7 . 3 9 5 8 7 8 2 3 K 2 6.","4 7 7 3, 7 8 9 1 0 5 K 2 8 . 0 1 1 6 Table 1: Corpus statistics of Chinese side, where Sent., Avg., Lon., and Len.",Single Citance
329,N09-1025.xml,D11-1081.xml,"For simplicity we do not compress the generated derivations into forests, therefore the size of resulting derivations is fairly small, which is about 265.8 for each sentence on average, where 6.1 of them are reference derivations.","Furthermore, we use lexical- ize operator more often than generalize operator (the ration between them is 1.5 to 1).","Lexicalize operator is used more frequently mainly dues to that the reference derivations are initialized with reusable (thus Chiang et al., 2009), gradient descent (Blunsom et al., 2008; Blunsom and Osborne, 2008).",The complexity of n-best lists or packed forests generation hamper these algorithms to scale to a large amount of data.,"For efficiency, we only use neighboring derivations for training.",Multi Citance
330,N09-1025.xml,D11-1125.xml,Several researchers have attempted to address this weakness.,"Recently, Watanabe et al.(2007) and Chiang et al.(2008b) have developed tuning methods using the MIRA algorithm (Crammer and Singer, 2003) as a nucleus.",The MIRA technique of Chiang et al. has been shown to perform well on large-scale tasks with hundreds or thousands of features (2009).,"However, the technique is complex and architecturally quite different from MERT.","Tellingly, in the entire proceedings of ACL 2010 (Hajicˇ et al., 2010), only one paper describing a statistical MT system cited the use of MIRA for tuning (Chiang, 2010), while 15 used MERT.1 Here we propose a simpler approach to tuning that scales similarly to high-dimensional feature spaces.",Single Citance
331,N09-1025.xml,D11-1125.xml,"If MERT cannot scale in this simple scenario, it has little hope of succeeding in a high-dimensionality deployment scenario.",We would like to modify MERT so that it scales well to high-dimensionality candidate spaces.,The most prominent example of a tuning method that performs well on high-dimensionality candidate spaces is the MIRA-based approach used by Watanabe et al.(2007) and Chiang et al.(2008b; 2009).,"Unfortunately, this approach requires a complex architecture that diverges significantly from the MERT approach, and consequently has not been widely adopted.",Our goal is to achieve the same performance with minimal modification to MERT.,Single Citance
332,N09-1025.xml,D11-1125.xml,"Specifically, we use 15 baseline features for PBMT, similar to the baseline features described by Watanabe et al.(2007).","We use 19 baseline features for SBMT, similar to the baseline features described by Chiang et al.(2008b).","We used the following feature classes in SBMT and PBMT extended scenarios:  Discount features for rule frequency bins (cf. Chiang et al. (2009), Section 4.1)  Target word insertion features9 We used the following feature classes in SBMT extended scenarios only (cf.","Chiang et al.(2009), Section 4.1):10 • Rule overlap features • Node count features 9 For ChineseEnglish and UrduEnglish SBMT these features only fired when the inserted target word was unaligned to any source word.","minal set than that used for the other two SBMT systems, accounting for the wide disparity in feature count for these feature classes.",Single Citance
333,N09-1025.xml,D11-1125.xml,"We use 19 baseline features for SBMT, similar to the baseline features described by Chiang et al.(2008b).","We used the following feature classes in SBMT and PBMT extended scenarios: • Discount features for rule frequency bins (cf.Chiang et al.(2009), Section 4.1) • Target word insertion features9 We used the following feature classes in SBMT extended scenarios only (cf.","Chiang et al. (2009), Section 4.1):10  Rule overlap features  Node count features 9 For ChineseEnglish and UrduEnglish SBMT these features only fired when the inserted target word was unaligned to any source word.","minal set than that used for the other two SBMT systems, accounting for the wide disparity in feature count for these feature classes.",UrduEnglish SBMT baseline feature tuning 26 25 MERT.,Single Citance
334,N09-1025.xml,D11-1125.xml,Each of the three approaches we compare in this study has various details associated with it that may prove useful to those wishing to reproduce our results.,"We list choices made for the various tuning methods here, and note that all our decisions were made in keeping with best practices for each algorithm.","5.4.1 MERT We used David Chiangs CMERT implementation We for the most part follow the MIRA algorithm for machine translation as described by Chiang et al. (2009)12 but instead of using the 10-best of each of the best hw , hw +g, and hw -g, we use the 30-best according to hw .13 We use the same sentence-level BLEU calculated in the context of previous 1-best translations as Chiang et al. (2008b; 2009). ",We ran MIRA for 30 iterations.,5.4.3 PRO We used the MegaM classifier and sampled as described in Section 4.2.,Single Citance
335,N09-1025.xml,N12-1006.xml,"We used GIZA++ (Och and Ney, 2003) to align sentences and extract hierarchical rules.","The decoder used a log-linear model that combines the scores of multiple feature scores, including translation probabilities, smoothed lexical probabilities, a dependency tree language model, in addition to a trigram English language model.","Additionally, we used 50,000 sparse, binary-valued source and target features based on Chiang et al. (2009) ",The English language model was trained on 7 billion words from the Gigaword and from a web crawl.,"The feature weights were tuned to maximize the BLEU score on a tuning set using the Expected- BLEU optimization procedure (Devlin, 2009).",Single Citance
336,N09-1025.xml,P12-1001.xml,General PMO Approach: The strategy we outlined in Section 3.2 can be easily applied to other MT optimization techniques.,"For example, by replacing the optimization subroutine (line 10, Algorithm 2) with a Powell search (Och, 2003), one can get PMOMERT4.","Alternatively, by using the large- margin optimizer in (Chiang et al., 2009) and moving it into the for-each loop (lines 49), one can get an online algorithm such PMOMIRA.",Virtually all MT optimization algorithms have a place where metric scores feedback into the optimization procedure; the idea of PMO is to replace these raw scores with labels derived from Pareto optimality.,4.1 Evaluation Methodology.,Single Citance
337,N09-1025.xml,P13-1110.xml,RAMPION aims to address the disconnect between MT and machine learning by optimizing a structured ramp loss with a concave-convex procedure.,2.1 Large-Margin Learning.,"Online large-margin algorithms, such as MIRA, have also gained prominence in SMT, thanks to their ability to learn models in high-dimensional feature spaces (Watanabe et al., 2007; Chiang et al., 2009).",The usual presentation of MIRA’s optimization problem is given as a quadratic program: 1 https://github.com/veidel/cdec 2 We may omit d in some equations.,for clarity.,Multi Citance
338,N09-1025.xml,P13-1110.xml,The vertical gray dotted line depicts the bound B. White arrows indicate updates triggered by constraint violations.,Squares are data points in the k-best list not selected for update in this round.,"task Corpus Sentences Tokens En Zh/Ar MT05 1082 35k 33k training 1M 23.7M 22.8M tune (MT06) 1797 55k 49k baselines: hypergraph-based MERT (Kumar et al., 2009), k-best variants of MIRA (Crammer et al., 2006; Chiang et al., 2009), PRO (Hopkins and May, 2011), and RAMPION (Gimpel and Smith, 2012).","The size of the k-best list was set to 500 for RAMPION, MIRA and RM, and 1500 for PRO, with both PRO and RAMPION utilizing k best aggregation across iterations.","RAMPION settings were as described in (Gimpel and Smith, 2012), and PRO settings as described in (Hopkins and May, 2011), with PRO requiring regularization tuning in order to be competitive with the other optimizers.",Multi Citance
339,N09-1025.xml,P13-1110.xml,"We set C to 0.01, and M axI ter to 100.","We selected the bound step size D, based on performance on a held-out dev set, to be 0.01 for the basic feature set and 0.1 for the sparse feature set.","The bound constraint B was set to 1.4 The approximate sentence-level BLEU cost i is computed in a manner similar to (Chiang et al., 2009), namely, in the context of previous 1-best translations of the tuning set.",All results are averaged over 3 runs.,4.2 Feature.,Single Citance
340,N09-1025.xml,P13-1110.xml,4.2 Feature.,"Sets We experimented with a small (basic) feature set, and a large (sparse) feature set.For the small feature set, we use 14 features, including a language model, 5 translation model features, penalties for unknown words, the glue rule, and rule arity.","For experiments with a larger feature set, we introduced additional lexical and non-lexical sparse Boolean features of the form commonly found in the literature (Chiang et al., 2009; Watan 4 We also conducted an investigation into the setting of the B parameter.","We explored alternative values for B, as well as scaling it by the current candidate’s cost, and found that the optimizer is fairly insensitive to these changes, resulting in only minor differences in BLEU.","Optimizer Zh Ar MIRA 35k 37k PRO 95k 115k RAMPION 22k 24k RM 30k 32k Active+Inactive 3.4M 4.9M Table 2: Active sparse feature templates abe et al., 2007; Simianer et al., 2012).",Single Citance
341,N09-1025.xml,Pmert_n09.xml,"Secondly, it offers a globally optimal line search.","Unfortunately, there are several potential difficulties in scaling MERT to larger numbers of features, due to its non-convex loss function and its lack of regularization.","These challenges have prompted some researchers to move away from MERT, in favor of linearly decomposable approximations of the evaluation metric (Chiang et al., 2009; Hopkins and May, 2011; Cherry and Foster, 2012), which correspond to easier optimization problems and which naturally incorporate regularization.","In particular, recent work (Chiang et al., 2009) has shown that adding thousands or tens of thousands of features can improve MT quality when weights are optimized using a margin-based approximation.","On simulated datasets, Hopkins and May (2011) found that conventional MERT struggles to find reasonable parameter vectors, where a smooth loss function based on Pairwise Ranking Optimization (PRO) performs much better; on real data, this PRO method appears at least as good as MERT on small feature sets, and also scales better as the number of features increases.",Multi Citance
342,N09-1025.xml,Pmert_n09.xml,"Unfortunately, there are several potential difficulties in scaling MERT to larger numbers of features, due to its non-convex loss function and its lack of regularization.","These challenges have prompted some researchers to move away from MERT, in favor of linearly decomposable approximations of the evaluation metric (Chiang et al., 2009; Hopkins and May, 2011; Cherry and Foster, 2012), which correspond to easier optimization problems and which naturally incorporate regularization.","In particular, recent work (Chiang et al., 2009) has shown that adding thousands or tens of thousands of features can improve MT quality when weights are optimized using a margin-based approximation.","On simulated datasets, Hopkins and May (2011) found that conventional MERT struggles to find reasonable parameter vectors, where a smooth loss function based on Pairwise Ranking Optimization (PRO) performs much better; on real data, this PRO method appears at least as good as MERT on small feature sets, and also scales better as the number of features increases.","In this paper, we seek to preserve the advantages of MERT while addressing its shortcomings in terms of regularization and search.",Single Citance
343,N09-1025.xml,PMTS_n09.xml,"Since MERT directly optimizes the log- linear weights on the devset BLEU scores, as compared to the linear weights which were learnt by optimizing the maximum likelihood on the target side of the devset, we expected the former to provide better results in terms of BLEU.","However, in the tuning phase, MERT was observed to iterate to the maximum allowable iteration limit (25) in order to complete, rather than converging automatically based on the evaluation metric criterion.","This observation conrms previous ndings (Chiang et al., 2009) regarding the inability of the MERT algorithm to converge on an optimal set of weights for a reasonably large number of parameters.",Linear mixture adaptation caused the translation scores to improve by 1.06 absolute BLEU points (4.08% relative) for En–De and 2.56 absolute points (7.55% relative) for En–Fr over the baseline.,For DeEn and FrEn the improvements were 0.23 absolute BLEU points (0.65% relative) and 0.5 absolute BLEU points (1.37% relative) respectively.,Single Citance
344,N09-1025.xml,PMTS_n09.xml,"The BLEU score improvements over the baseline for this adaptation model were 1.72 absolute (6.62% relative) points for En–De, 2.58 absolute (7.61% relative) points for En–Fr, 0.17 absolute (0.48% relative) points for DeEn and 0.1 absolute (0.28% relative) points for FrEn.","As in the previous phases, the improvements are statistically signiﬁcant for translations from English.","The MERT algorithm is known to be unable to learn optimal weights for large parameter settings (Chiang et al., 2009).","In the current scenario, two phrase tables, two reordering models and three language models resulted in a con siderable number of parameters, causing the algorithm to learn sub-optimal mixture weights leading to poorer performance.",The overall trends of the results emphasize the importance of linear mixture adaptation for both language and translation models.,Single Citance
345,N09-1025.xml,PMTS_n09.xml,Here the weights for linear combination of multiple phrase tables were estimated using language models.,Directly learning linear weights by optimizing translation quality in terms of the development set would be the prime direction in future.,"We would also like to look into alternative tuning techniques, especially ones based on the MIRA algorithm to improve the quality of log-linear mixture adaptation in large parameter settings (Chiang et al., 2009).",Enhancing the translation quality further with third party forum data would also be another objective in this direction.,Finally we would also like to investigate further on different ranking schemes and empirical threshold selection for selecting relevant datasets to supplement training data for improving translation quality.,Single Citance
346,N09-1025.xml,PSMPT_n09.xml,"In practice, the number of NTs on the right hand side is constrained to at most two, which must be separated by lexical items in α.","Each rule is associated with a score that is derived using the log-linear model (Och and Ney, 2002) as in (2): features seem to be effective in Arabic-to-English and Chinese-to-English translation.","Chiang et w(X  (, ,  )) = ii (2) i al. 2009) define new translational features using neighbouring word contexts of the source phrase, which are directly integrated into the translation model of Hiero system.","In order to limit the the size of their model, they restrict words to being among the 100 most frequently occurring words from the training data; all other words are replaced with a special token.","One final paper in this strand of research is that of (He et al., 2008), who despite not mentioning the link between the two pieces of work, show that the low-level source-language features used by (Stroppa et al., 2007) are also of benefit when used with the HPB decoder (Chiang, 2007).",Single Citance
